iter	Passed	Remaining
0	58	58409
1	58	29315
2	59	19612
3	59	14783
4	59	11882
5	59	9936
6	60	8547
7	60	7502
8	60	6689
9	61	6040
10	61	5515
11	61	5080
12	61	4703
13	62	4385
14	62	4106
15	62	3862
16	63	3647
17	63	3458
18	63	3292
19	64	3137
20	64	2998
21	64	2872
22	64	2759
23	65	2658
24	65	2563
25	66	2476
26	66	2413
27	67	2336
28	67	2263
29	67	2196
30	68	2130
31	68	2070
32	68	2016
33	69	1965
34	69	1913
35	69	1866
36	69	1820
37	70	1777
38	70	1736
39	70	1700
40	71	1664
41	71	1628
42	71	1594
43	71	1563
44	72	1531
45	72	1503
46	72	1474
47	72	1447
48	73	1422
49	73	1398
50	73	1374
51	74	1352
52	74	1330
53	74	1308
54	74	1287
55	75	1267
56	75	1247
57	75	1229
58	75	1211
59	76	1194
60	76	1177
61	76	1161
62	77	1145
63	77	1131
64	77	1117
65	77	1102
66	78	1089
67	78	1076
68	78	1063
69	79	1050
70	79	1037
71	79	1025
72	79	1013
73	80	1001
74	80	991
75	80	980
76	80	969
77	81	958
78	81	948
79	81	939
80	81	929
81	82	919
82	82	908
83	82	900
84	82	891
85	83	882
86	83	874
87	83	865
88	83	858
89	84	850
90	84	842
91	84	835
92	84	828
93	85	820
94	85	813
95	85	807
96	86	802
97	86	796
98	86	790
99	87	783
100	87	777
101	87	772
102	87	765
103	88	759
104	88	753
105	88	748
106	88	742
107	89	737
108	89	731
109	89	726
110	89	720
111	90	715
112	90	710
113	90	705
114	90	700
115	91	695
116	91	689
117	91	685
118	92	681
119	92	676
120	92	672
121	92	667
122	92	662
123	93	658
124	93	653
125	93	649
126	93	644
127	94	640
128	94	636
129	94	632
130	94	628
131	95	625
132	95	621
133	95	617
134	95	613
135	95	609
136	96	606
137	96	603
138	96	599
139	97	596
140	97	593
141	97	588
142	97	585
143	97	582
144	98	578
145	98	575
146	98	572
147	98	568
148	99	565
149	99	563
150	99	560
151	99	557
152	100	554
153	100	552
154	100	550
155	101	547
156	101	544
157	101	541
158	101	538
159	102	536
160	102	533
161	102	530
162	102	528
163	103	525
164	103	523
165	103	520
166	103	518
167	104	516
168	104	513
169	104	511
170	104	508
171	105	506
172	105	504
173	105	501
174	105	499
175	106	497
176	106	494
177	106	492
178	106	490
179	107	488
180	107	486
181	107	484
182	107	482
183	108	479
184	108	477
185	108	475
186	109	473
187	109	472
188	109	470
189	109	468
190	110	466
191	110	464
192	110	462
193	110	460
194	111	458
195	111	457
196	111	455
197	111	453
198	112	451
199	112	450
200	112	448
201	112	446
202	113	444
203	113	442
204	113	441
205	113	439
206	114	437
207	114	436
208	114	434
209	115	433
210	115	431
211	115	430
212	115	428
213	116	427
214	116	425
215	116	423
216	117	422
217	117	420
218	117	419
219	117	417
220	118	416
221	118	415
222	118	413
223	118	412
224	119	410
225	119	409
226	119	407
227	120	406
228	120	404
229	120	403
230	120	401
231	120	400
232	121	399
233	121	397
234	121	396
235	121	394
236	122	393
237	122	392
238	122	390
239	123	389
240	123	388
241	123	386
242	123	385
243	124	384
244	124	383
245	124	381
246	124	380
247	125	379
248	125	378
249	125	376
250	125	375
251	126	374
252	126	373
253	126	371
254	126	370
255	127	369
256	127	368
257	127	367
258	128	366
259	128	365
260	128	363
261	128	362
262	128	361
263	129	360
264	129	358
265	129	357
266	129	356
267	130	355
268	130	354
269	130	353
270	130	352
271	131	351
272	131	350
273	132	349
274	132	348
275	132	347
276	132	346
277	133	345
278	133	344
279	133	343
280	133	342
281	134	341
282	134	340
283	134	339
284	134	338
285	135	337
286	135	336
287	135	335
288	135	334
289	136	333
290	136	332
291	136	331
292	136	330
293	137	329
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	138	322
301	139	321
302	139	320
303	139	319
304	139	318
305	140	317
306	140	316
307	140	315
308	140	314
309	141	314
310	141	313
311	141	312
312	141	311
313	142	310
314	142	309
315	142	308
316	142	307
317	142	306
318	143	305
319	143	304
320	143	303
321	143	302
322	144	302
323	144	301
324	144	300
325	144	299
326	145	298
327	145	297
328	145	296
329	145	296
330	146	295
331	146	294
332	146	293
333	147	293
334	147	292
335	147	291
336	147	290
337	148	289
338	148	289
339	148	288
340	148	287
341	149	286
342	149	285
343	149	285
344	149	284
345	150	283
346	150	282
347	150	282
348	150	281
349	151	280
350	151	279
351	151	279
352	151	278
353	152	277
354	152	276
355	152	276
356	152	275
357	153	274
358	153	273
359	153	273
360	153	272
361	154	271
362	154	270
363	154	270
364	154	269
365	155	268
366	155	268
367	155	267
368	155	266
369	156	265
370	156	265
371	156	264
372	156	263
373	157	263
374	157	262
375	157	261
376	158	261
377	158	260
378	158	259
379	158	258
380	158	258
381	159	257
382	159	257
383	159	256
384	160	255
385	160	255
386	160	254
387	160	253
388	161	253
389	161	252
390	161	252
391	162	251
392	162	250
393	162	250
394	162	249
395	163	248
396	163	248
397	163	247
398	163	246
399	164	246
400	164	245
401	164	244
402	164	244
403	165	244
404	166	244
405	166	243
406	166	242
407	166	241
408	166	241
409	167	240
410	167	240
411	167	239
412	168	238
413	168	238
414	168	237
415	168	237
416	169	236
417	169	235
418	169	235
419	169	234
420	170	234
421	170	233
422	170	232
423	170	232
424	171	231
425	171	231
426	171	230
427	172	229
428	172	229
429	172	228
430	172	228
431	173	227
432	173	227
433	173	226
434	173	225
435	174	225
436	174	224
437	175	224
438	175	224
439	175	223
440	175	223
441	176	222
442	176	221
443	176	221
444	177	220
445	177	220
446	177	219
447	177	219
448	178	218
449	178	217
450	178	217
451	179	217
452	179	217
453	180	216
454	180	216
455	181	216
456	181	215
457	181	215
458	182	214
459	182	214
460	182	213
461	182	212
462	183	212
463	183	211
464	183	211
465	183	210
466	184	210
467	184	209
468	184	209
469	184	208
470	185	207
471	185	207
472	185	206
473	185	206
474	185	205
475	186	204
476	186	204
477	186	203
478	186	203
479	187	202
480	187	202
481	187	201
482	187	201
483	188	200
484	188	200
485	188	199
486	188	198
487	189	198
488	189	197
489	189	197
490	189	196
491	190	196
492	190	195
493	190	195
494	190	194
495	191	194
496	191	193
497	191	193
498	192	192
499	192	192
500	192	191
501	192	191
502	193	190
503	193	190
504	193	189
505	193	189
506	194	188
507	194	188
508	194	187
509	194	187
510	194	186
511	195	186
512	195	185
513	195	185
514	196	184
515	196	184
516	196	183
517	196	183
518	197	182
519	197	182
520	197	181
521	197	181
522	198	180
523	198	180
524	198	179
525	198	179
526	199	178
527	199	178
528	199	177
529	199	177
530	199	176
531	200	176
532	200	175
533	200	175
534	201	174
535	201	174
536	201	173
537	201	173
538	202	172
539	202	172
540	202	171
541	202	171
542	203	170
543	203	170
544	204	170
545	204	169
546	204	169
547	204	169
548	205	168
549	205	168
550	205	167
551	205	167
552	206	166
553	206	166
554	206	165
555	207	165
556	207	164
557	207	164
558	207	163
559	208	163
560	208	163
561	208	162
562	209	162
563	209	161
564	209	161
565	209	160
566	209	160
567	210	159
568	210	159
569	210	159
570	210	158
571	211	158
572	211	157
573	211	157
574	211	156
575	212	156
576	212	155
577	212	155
578	212	154
579	213	154
580	213	153
581	213	153
582	214	153
583	214	152
584	214	152
585	214	151
586	215	151
587	215	150
588	215	150
589	215	150
590	216	149
591	216	149
592	216	148
593	217	148
594	217	147
595	217	147
596	217	147
597	218	146
598	218	146
599	218	145
600	218	145
601	219	144
602	219	144
603	219	144
604	219	143
605	220	143
606	220	142
607	220	142
608	220	141
609	221	141
610	221	141
611	221	140
612	221	140
613	222	139
614	222	139
615	222	138
616	222	138
617	223	137
618	223	137
619	224	137
620	224	136
621	224	136
622	224	136
623	225	135
624	225	135
625	225	134
626	225	134
627	226	133
628	226	133
629	226	133
630	226	132
631	226	132
632	227	131
633	227	131
634	227	130
635	227	130
636	228	130
637	228	129
638	228	129
639	228	128
640	229	128
641	229	127
642	229	127
643	230	127
644	230	126
645	230	126
646	230	125
647	231	125
648	231	125
649	231	124
650	231	124
651	232	123
652	232	123
653	232	123
654	232	122
655	233	122
656	233	121
657	234	121
658	234	121
659	234	121
660	235	120
661	235	120
662	235	119
663	235	119
664	236	119
665	236	118
666	236	118
667	237	117
668	237	117
669	237	117
670	237	116
671	238	116
672	238	115
673	238	115
674	238	115
675	239	114
676	239	114
677	239	113
678	239	113
679	240	113
680	240	112
681	240	112
682	240	111
683	241	111
684	241	111
685	241	110
686	241	110
687	242	109
688	242	109
689	242	109
690	242	108
691	243	108
692	243	107
693	243	107
694	244	107
695	244	106
696	244	106
697	244	105
698	245	105
699	245	105
700	245	104
701	245	104
702	246	103
703	246	103
704	246	103
705	246	102
706	247	102
707	247	101
708	247	101
709	247	101
710	247	100
711	248	100
712	248	100
713	248	99
714	248	99
715	249	98
716	249	98
717	249	98
718	249	97
719	250	97
720	250	96
721	250	96
722	250	96
723	251	95
724	251	95
725	251	94
726	251	94
727	252	94
728	252	93
729	252	93
730	252	93
731	253	92
732	253	92
733	253	91
734	254	91
735	254	91
736	254	90
737	254	90
738	255	90
739	255	89
740	255	89
741	255	88
742	256	88
743	256	88
744	256	87
745	256	87
746	257	87
747	257	86
748	257	86
749	257	85
750	258	85
751	258	85
752	258	84
753	258	84
754	259	84
755	259	83
756	259	83
757	259	82
758	259	82
759	260	82
760	260	81
761	260	81
762	261	81
763	261	80
764	261	80
765	261	79
766	262	79
767	262	79
768	262	78
769	262	78
770	263	78
771	263	77
772	263	77
773	263	77
774	264	76
775	264	76
776	264	75
777	264	75
778	265	75
779	265	74
780	265	74
781	266	74
782	266	73
783	266	73
784	266	73
785	267	72
786	267	72
787	267	71
788	267	71
789	268	71
790	268	70
791	268	70
792	268	70
793	269	69
794	269	69
795	269	69
796	269	68
797	270	68
798	271	68
799	271	67
800	271	67
801	272	67
802	272	66
803	272	66
804	273	66
805	273	65
806	273	65
807	273	65
808	274	64
809	274	64
810	274	63
811	274	63
812	275	63
813	275	62
814	275	62
815	275	62
816	276	61
817	276	61
818	276	61
819	276	60
820	277	60
821	277	60
822	277	59
823	277	59
824	278	58
825	278	58
826	278	58
827	278	57
828	279	57
829	279	57
830	279	56
831	280	56
832	280	56
833	280	55
834	280	55
835	280	55
836	281	54
837	281	54
838	281	54
839	281	53
840	282	53
841	282	52
842	282	52
843	282	52
844	283	51
845	283	51
846	283	51
847	283	50
848	284	50
849	284	50
850	284	49
851	284	49
852	285	49
853	285	48
854	285	48
855	285	48
856	286	47
857	286	47
858	286	47
859	286	46
860	287	46
861	287	46
862	287	45
863	287	45
864	288	44
865	288	44
866	288	44
867	288	43
868	289	43
869	289	43
870	289	42
871	289	42
872	290	42
873	290	41
874	290	41
875	290	41
876	291	40
877	291	40
878	291	40
879	291	39
880	292	39
881	292	39
882	292	38
883	292	38
884	293	38
885	293	37
886	293	37
887	293	37
888	294	36
889	294	36
890	294	36
891	294	35
892	295	35
893	295	35
894	295	34
895	295	34
896	296	34
897	296	33
898	296	33
899	296	32
900	297	32
901	297	32
902	297	31
903	298	31
904	298	31
905	298	30
906	298	30
907	299	30
908	299	29
909	299	29
910	299	29
911	300	28
912	300	28
913	300	28
914	301	27
915	301	27
916	301	27
917	301	26
918	301	26
919	302	26
920	302	25
921	302	25
922	302	25
923	303	24
924	303	24
925	303	24
926	304	23
927	304	23
928	304	23
929	304	22
930	305	22
931	305	22
932	305	21
933	305	21
934	306	21
935	306	20
936	306	20
937	306	20
938	306	19
939	307	19
940	307	19
941	307	18
942	308	18
943	308	18
944	308	17
945	308	17
946	308	17
947	309	16
948	309	16
949	309	16
950	310	15
951	310	15
952	310	15
953	310	14
954	311	14
955	311	14
956	311	13
957	311	13
958	312	13
959	312	13
960	312	12
961	312	12
962	313	12
963	313	11
964	313	11
965	313	11
966	314	10
967	314	10
968	314	10
969	314	9
970	315	9
971	315	9
972	315	8
973	315	8
974	316	8
975	316	7
976	316	7
977	317	7
978	317	6
979	317	6
980	318	6
981	318	5
982	318	5
983	318	5
984	319	4
985	319	4
986	319	4
987	319	3
988	320	3
989	320	3
990	320	2
991	320	2
992	321	2
993	321	1
994	321	1
995	321	1
996	322	0
997	322	0
998	322	0
999	322	0
