iter	Passed	Remaining
0	0	419
1	0	343
2	0	309
3	1	290
4	1	278
5	1	269
6	1	269
7	2	266
8	2	264
9	2	262
10	2	259
11	3	255
12	3	253
13	3	252
14	3	252
15	4	251
16	4	251
17	4	250
18	4	249
19	5	247
20	5	246
21	5	247
22	5	247
23	6	246
24	6	246
25	6	248
26	6	247
27	7	247
28	7	245
29	7	245
30	7	243
31	8	244
32	8	244
33	8	244
34	8	243
35	9	243
36	9	242
37	9	242
38	9	241
39	10	240
40	10	241
41	10	240
42	10	240
43	11	239
44	11	238
45	11	237
46	11	237
47	11	236
48	12	236
49	12	235
50	12	236
51	12	235
52	13	236
53	13	236
54	13	236
55	13	235
56	14	234
57	14	234
58	14	233
59	14	233
60	15	232
61	15	232
62	15	232
63	15	232
64	16	231
65	16	231
66	16	230
67	16	230
68	17	230
69	17	230
70	17	229
71	17	229
72	18	229
73	18	228
74	18	228
75	18	228
76	18	227
77	19	227
78	19	227
79	19	227
80	20	226
81	20	226
82	20	224
83	20	224
84	20	223
85	21	223
86	21	222
87	21	222
88	21	221
89	21	221
90	22	221
91	22	220
92	22	220
93	22	220
94	23	219
95	23	219
96	23	219
97	23	218
98	24	218
99	24	218
100	24	217
101	24	217
102	24	217
103	25	216
104	25	216
105	25	216
106	25	216
107	26	215
108	26	215
109	26	215
110	26	214
111	27	214
112	27	213
113	27	213
114	27	213
115	27	212
116	28	212
117	28	211
118	28	211
119	28	212
120	29	211
121	29	211
122	29	210
123	29	210
124	30	210
125	30	210
126	30	210
127	30	209
128	31	209
129	31	209
130	31	209
131	31	208
132	31	208
133	32	208
134	32	207
135	32	207
136	32	207
137	33	206
138	33	206
139	33	206
140	33	206
141	33	205
142	34	205
143	34	205
144	34	204
145	34	204
146	35	204
147	35	203
148	35	203
149	35	203
150	36	203
151	36	203
152	36	202
153	36	202
154	37	202
155	37	201
156	37	201
157	37	201
158	38	201
159	38	200
160	38	200
161	38	200
162	38	199
163	39	199
164	39	199
165	39	199
166	39	199
167	40	198
168	40	198
169	40	198
170	40	198
171	41	197
172	41	197
173	41	197
174	41	197
175	42	196
176	42	196
177	42	196
178	42	196
179	43	196
180	43	195
181	43	195
182	43	195
183	44	195
184	44	195
185	44	195
186	44	194
187	45	194
188	45	194
189	45	194
190	45	193
191	45	193
192	46	193
193	46	193
194	46	192
195	46	192
196	47	192
197	47	192
198	47	191
199	47	191
200	48	191
201	48	191
202	48	191
203	48	190
204	49	190
205	49	190
206	49	190
207	49	189
208	50	189
209	50	189
210	50	189
211	50	189
212	51	188
213	51	190
214	52	190
215	52	190
216	52	190
217	52	189
218	53	189
219	53	189
220	53	189
221	53	188
222	54	188
223	54	188
224	54	187
225	54	187
226	55	187
227	55	186
228	55	186
229	55	186
230	55	186
231	56	185
232	56	185
233	56	185
234	56	185
235	57	185
236	57	184
237	57	184
238	57	184
239	58	184
240	58	183
241	58	183
242	58	183
243	59	182
244	59	182
245	59	182
246	59	182
247	60	181
248	60	181
249	60	181
250	60	181
251	60	180
252	61	180
253	61	180
254	61	180
255	61	179
256	62	179
257	62	179
258	62	179
259	62	178
260	63	178
261	63	178
262	63	178
263	63	178
264	64	178
265	64	177
266	64	177
267	64	177
268	65	176
269	65	176
270	65	176
271	65	176
272	66	175
273	66	175
274	66	175
275	66	175
276	67	175
277	67	174
278	67	174
279	67	174
280	67	173
281	68	173
282	68	173
283	68	173
284	68	173
285	69	172
286	69	172
287	69	172
288	69	172
289	70	171
290	70	171
291	70	171
292	70	171
293	71	170
294	71	170
295	71	170
296	71	169
297	72	169
298	72	170
299	72	169
300	73	169
301	73	169
302	73	169
303	73	168
304	74	168
305	74	168
306	74	168
307	74	168
308	75	167
309	75	167
310	75	167
311	75	167
312	76	166
313	76	166
314	76	166
315	76	166
316	77	166
317	77	165
318	77	165
319	77	165
320	78	165
321	78	164
322	78	164
323	78	164
324	78	163
325	79	163
326	79	163
327	79	163
328	79	162
329	80	162
330	80	162
331	80	162
332	80	161
333	81	161
334	81	161
335	81	161
336	81	160
337	82	160
338	82	160
339	82	160
340	82	159
341	83	159
342	83	159
343	83	159
344	83	159
345	84	158
346	84	159
347	84	158
348	85	158
349	85	158
350	85	158
351	85	158
352	86	157
353	86	157
354	86	157
355	86	157
356	87	156
357	87	156
358	87	156
359	87	156
360	88	155
361	88	155
362	88	155
363	88	155
364	89	154
365	89	154
366	89	154
367	89	154
368	90	154
369	90	153
370	90	153
371	90	153
372	91	153
373	91	152
374	91	152
375	91	152
376	92	152
377	92	152
378	92	151
379	92	151
380	93	151
381	93	151
382	93	150
383	94	151
384	94	151
385	95	151
386	95	151
387	95	150
388	95	150
389	96	150
390	96	150
391	96	149
392	96	149
393	97	149
394	97	149
395	97	148
396	97	148
397	98	148
398	98	148
399	98	147
400	98	147
401	98	147
402	99	146
403	99	146
404	99	146
405	99	146
406	100	145
407	100	145
408	100	145
409	100	145
410	101	144
411	101	144
412	101	144
413	101	144
414	102	143
415	102	143
416	102	143
417	102	143
418	103	143
419	103	142
420	103	142
421	103	142
422	104	141
423	104	141
424	104	141
425	104	141
426	104	140
427	105	140
428	105	140
429	105	140
430	105	139
431	106	139
432	106	139
433	106	138
434	106	138
435	106	138
436	107	138
437	107	137
438	107	137
439	107	137
440	108	137
441	108	136
442	108	136
443	108	136
444	109	136
445	109	135
446	109	135
447	110	135
448	110	135
449	110	135
450	110	134
451	110	134
452	111	134
453	111	134
454	111	133
455	111	133
456	112	133
457	112	133
458	112	132
459	112	132
460	113	132
461	113	132
462	113	131
463	113	131
464	114	131
465	114	131
466	114	130
467	114	130
468	115	130
469	115	130
470	115	129
471	115	129
472	116	129
473	116	129
474	116	128
475	116	128
476	117	128
477	117	128
478	117	127
479	117	127
480	118	127
481	118	127
482	118	126
483	118	126
484	118	126
485	119	126
486	119	125
487	119	125
488	119	125
489	120	125
490	120	124
491	120	124
492	120	124
493	121	124
494	121	123
495	121	123
496	121	123
497	122	122
498	122	122
499	122	122
500	122	122
501	122	122
502	123	121
503	123	121
504	123	121
505	123	121
506	124	120
507	124	120
508	124	120
509	125	120
510	125	119
511	125	119
512	125	119
513	126	119
514	126	118
515	126	118
516	126	118
517	126	118
518	127	117
519	127	117
520	127	117
521	127	117
522	128	116
523	128	116
524	128	116
525	128	116
526	129	115
527	129	115
528	129	115
529	129	115
530	130	114
531	130	114
532	130	114
533	130	114
534	131	113
535	131	113
536	131	113
537	131	113
538	132	112
539	132	112
540	132	112
541	132	112
542	132	111
543	133	111
544	133	111
545	133	111
546	133	110
547	134	110
548	134	110
549	134	110
550	134	109
551	135	109
552	135	109
553	135	109
554	135	108
555	135	108
556	136	108
557	136	108
558	136	107
559	136	107
560	137	107
561	137	107
562	137	106
563	137	106
564	138	106
565	138	106
566	138	105
567	138	105
568	139	105
569	139	105
570	139	104
571	139	104
572	140	104
573	140	104
574	140	103
575	140	103
576	140	103
577	141	103
578	141	102
579	141	102
580	141	102
581	142	102
582	142	101
583	142	101
584	142	101
585	143	101
586	143	100
587	143	100
588	143	100
589	144	100
590	144	99
591	144	99
592	144	99
593	144	99
594	145	98
595	145	98
596	145	98
597	145	98
598	146	97
599	146	97
600	146	97
601	146	97
602	147	96
603	147	96
604	147	96
605	147	96
606	148	95
607	148	95
608	148	95
609	148	95
610	148	94
611	149	94
612	149	94
613	149	94
614	149	93
615	150	93
616	150	93
617	150	93
618	150	92
619	151	92
620	151	92
621	151	92
622	151	91
623	152	91
624	152	91
625	152	91
626	152	90
627	153	90
628	153	90
629	153	90
630	153	89
631	154	89
632	154	89
633	154	89
634	154	89
635	155	88
636	155	88
637	155	88
638	155	88
639	156	87
640	156	87
641	156	87
642	157	87
643	157	87
644	157	86
645	157	86
646	158	86
647	158	86
648	158	85
649	158	85
650	159	85
651	159	85
652	159	84
653	159	84
654	160	84
655	160	84
656	160	83
657	160	83
658	160	83
659	161	83
660	161	82
661	161	82
662	161	82
663	162	82
664	162	81
665	162	81
666	162	81
667	163	81
668	163	80
669	163	80
670	163	80
671	164	80
672	164	79
673	164	79
674	164	79
675	165	79
676	165	78
677	165	78
678	165	78
679	166	78
680	166	77
681	166	77
682	166	77
683	167	77
684	167	76
685	167	76
686	167	76
687	167	76
688	168	75
689	168	75
690	168	75
691	168	75
692	169	74
693	169	74
694	169	74
695	169	74
696	170	73
697	170	73
698	170	73
699	170	73
700	171	73
701	171	72
702	171	72
703	171	72
704	172	72
705	172	71
706	172	71
707	172	71
708	173	71
709	173	70
710	173	70
711	173	70
712	174	70
713	174	69
714	174	69
715	174	69
716	175	69
717	175	68
718	175	68
719	175	68
720	176	68
721	176	67
722	176	67
723	176	67
724	177	67
725	177	66
726	177	66
727	177	66
728	177	66
729	178	65
730	178	65
731	178	65
732	178	65
733	179	64
734	179	64
735	179	64
736	179	64
737	180	63
738	180	63
739	180	63
740	180	63
741	181	62
742	181	62
743	181	62
744	181	62
745	182	61
746	182	61
747	182	61
748	182	61
749	183	61
750	183	60
751	183	60
752	183	60
753	183	60
754	184	59
755	184	59
756	184	59
757	184	59
758	185	58
759	185	58
760	185	58
761	185	58
762	186	57
763	186	57
764	186	57
765	186	57
766	187	56
767	187	56
768	187	56
769	187	56
770	188	55
771	188	55
772	188	55
773	188	55
774	189	54
775	189	54
776	189	54
777	189	54
778	190	53
779	190	53
780	190	53
781	190	53
782	190	52
783	191	52
784	191	52
785	191	52
786	191	51
787	192	51
788	192	51
789	192	51
790	192	50
791	193	50
792	193	50
793	193	50
794	193	50
795	194	49
796	194	49
797	194	49
798	194	49
799	195	48
800	195	48
801	195	48
802	195	48
803	196	47
804	196	47
805	196	47
806	196	47
807	197	46
808	197	46
809	197	46
810	197	46
811	198	45
812	198	45
813	198	45
814	198	45
815	199	44
816	199	44
817	199	44
818	199	44
819	200	43
820	200	43
821	200	43
822	200	43
823	201	42
824	201	42
825	201	42
826	201	42
827	202	41
828	202	41
829	202	41
830	202	41
831	203	41
832	203	40
833	203	40
834	203	40
835	204	40
836	204	39
837	204	39
838	204	39
839	204	39
840	205	38
841	205	38
842	205	38
843	205	38
844	206	37
845	206	37
846	206	37
847	206	37
848	207	36
849	207	36
850	207	36
851	207	36
852	208	35
853	208	35
854	208	35
855	208	35
856	209	34
857	209	34
858	209	34
859	209	34
860	210	33
861	210	33
862	210	33
863	210	33
864	210	32
865	211	32
866	211	32
867	211	32
868	211	31
869	212	31
870	212	31
871	212	31
872	212	30
873	213	30
874	213	30
875	213	30
876	213	29
877	214	29
878	214	29
879	214	29
880	214	29
881	214	28
882	215	28
883	215	28
884	215	28
885	215	27
886	216	27
887	216	27
888	216	27
889	216	26
890	217	26
891	217	26
892	217	26
893	217	25
894	218	25
895	218	25
896	218	25
897	218	24
898	219	24
899	219	24
900	219	24
901	219	23
902	220	23
903	220	23
904	220	23
905	220	22
906	221	22
907	221	22
908	221	22
909	221	21
910	222	21
911	222	21
912	222	21
913	222	20
914	222	20
915	223	20
916	223	20
917	223	19
918	223	19
919	224	19
920	224	19
921	224	19
922	224	18
923	225	18
924	225	18
925	225	18
926	225	17
927	226	17
928	226	17
929	226	17
930	226	16
931	227	16
932	227	16
933	227	16
934	227	15
935	228	15
936	228	15
937	228	15
938	228	14
939	229	14
940	229	14
941	229	14
942	229	13
943	230	13
944	230	13
945	230	13
946	230	12
947	231	12
948	231	12
949	231	12
950	231	11
951	232	11
952	232	11
953	232	11
954	232	10
955	233	10
956	233	10
957	233	10
958	233	9
959	233	9
960	234	9
961	234	9
962	234	9
963	234	8
964	235	8
965	235	8
966	235	8
967	235	7
968	236	7
969	236	7
970	236	7
971	236	6
972	236	6
973	237	6
974	237	6
975	237	5
976	237	5
977	238	5
978	238	5
979	238	4
980	238	4
981	239	4
982	239	4
983	239	3
984	240	3
985	240	3
986	240	3
987	240	2
988	241	2
989	241	2
990	241	2
991	241	1
992	242	1
993	242	1
994	242	1
995	242	0
996	243	0
997	243	0
998	243	0
999	243	0
